Product Name,Price,Description,Image URL,Availability,Category,store name
Maple Leaf,$7.99 ,"Create a tasty sandwich or wrap with Maple Leaf Natural Selections Baked Ham. This delicious ham sandwich meat starts with quality cuts of ham and is made with natural ingredients for delicious flavour. The convenient resealable package ensures the sliced deli meat stays fresh and ready to enjoy. Made for families, the Maple Leaf brand offers premium meat using only natural ingredients with no artificial preservatives, flavours, colours, or sweeteners. Dedicated to providing wholesome, real food for Canadians for generations to come, Maple Leaf is the first major food company in the world to become carbon neutral. Join them in their commitment to build a more sustainable planet.",https://media.sobeys.com/original/245911_EA_ml_primary_front_na_052924_VOILA_e7d9ce02d1c2e10ff14638d256eb9498d742351f.JPG,In-stock,Meat,FreshCo
Neilson Chocolate Milk 750 ml,$2.39 ,No Description Available,https://digital.loblaws.ca/PCX/20766719_EA/en/1/20766719_en_front_1200.png,In-stock,Dairy & Eggs,FreshCo
No Name Everything Bagels 510 g,$5.99 ,No Description Available,https://digital.loblaws.ca/PCX/21297831_EA/en/1/21297831_en_front_1200.png,In-stock,Dairy & Eggs,FreshCo
Neilson 1% Microfiltered Milk 4 l,$38.00 ,No Description Available,https://digital.loblaws.ca/PCX/20136554_EA/en/1/20136554_en_front_v1_1200.png,In-stock,Dairy & Eggs,FreshCo
President's Choice Butter Infused Young Turkey - Frozen - 5-7 kg 5 kg,$11.12 ,No Description Available,https://digital.loblaws.ca/PCX/21284940_EA/en/1/21284940_en_front_1200.png,In-stock,Dairy & Eggs,FreshCo
null Chicken Leg  $9.90/1kg $4.49/1lb,$3.29 ,No Description Available,https://digital.loblaws.ca/PCX/21302371_KG/en/1/21302371_enfr_front_v1_1200.png,In-stock,Meat,FreshCo
McCain Diced Hashbrowns 800 g,$2.00 ,No Description Available,https://digital.loblaws.ca/PCX/21525020_EA/en/1/21525020_enfr_front_v1_1200.png,In-stock,Forzen Foods,FreshCo
null Wild Yellowfin Tuna Fillet,$10.49 ,No Description Available,https://digital.loblaws.ca/PCX/21694839_EA/en/1/21694839_en_front_1200.png,In-stock,Meat,FreshCo
Conestoga Eggs Brown Eggs Free Run Omega-3 Size: Large 18 ea,$5.99 ,No Description Available,https://digital.loblaws.ca/PCX/21542380001_EA/en/1/6476734395_enfr_front_centre_marketing_GS1_Ecommerce_1200.png,In-stock,Dairy & Eggs,FreshCo
Molinaro's Pizza Starter Kit,$3.00 ,No Description Available,https://digital.loblaws.ca/PCX/20340727_EA/en/1/20340727_en_front_1200.png,In-stock,Forzen Foods,FreshCo
Maynards Fuzzy Peach Candy,$4.50 ,No Description Available,https://digital.loblaws.ca/PCX/21545820_EA/en/1/21545820_en_front_1200.png,In-stock,Snacks & Candy,FreshCo
Cheetos Crunchy Flamin' Hot Cheese Flavoured Snacks 285 g,$1.50 ,No Description Available,https://digital.loblaws.ca/PCX/21370217_EA/en/1/21370217_en_front_1200.png,In-stock,Snacks & Candy,No Frills
Oasis Hydrafruit Peach Beverage 960 ml,$2.75 ,No Description Available,https://digital.loblaws.ca/PCX/21518462_EA/en/1/21518462_en_front_v1_1200.png,In-stock,Snacks & Candy,No Frills
McCain Smiles? - Smiley Face Fries 650 g,$17.39 ,No Description Available,https://digital.loblaws.ca/PCX/20797308_EA/en/1/20797308_en_front_1200.png,In-stock,Snacks & Candy,No Frills
null Pork Combo Chops $12.10/1kg $5.49/1lb,$5.29 ,No Description Available,https://digital.loblaws.ca/PCX/20683470_KG/en/1/20683470_en_front_1200.png,In-stock,Dairy & Eggs,No Frills
